test_year,candidate_rule,candidate_share,candidate_units,damage_rate,damage_lift,damage_capture,cost_capture,aos_capture
2007,Boundary-excess expansion,0.005,35,0.42857142857142855,4.366709183673469,0.022321428571428572,0.03363613794975334,0.059639205253969575
2007,Posterior-mean expansion,0.005,35,0.3142857142857143,3.202253401360544,0.01636904761904762,0.010215300924262791,0.0008479507856014631
2007,Random unselected expansion,0.005,35,0.069,0.7030401785714284,0.0035937499999999993,0.008386971570302664,0.0058131182974478345
2007,Boundary-certificate expansion,0.01,69,0.4057971014492754,4.134661835748792,0.041666666666666664,0.05809891388969587,0.04529054784271344
2007,Boundary-excess expansion,0.01,69,0.4492753623188406,4.577661318150448,0.046130952380952384,0.06403254894733171,0.06919943469947626
2007,Posterior-mean expansion,0.01,69,0.4057971014492754,4.134661835748792,0.041666666666666664,0.05809891388969587,0.04529054784271344
2007,Random unselected expansion,0.01,69,0.06978260869565217,0.7110141692546584,0.007165178571428571,0.00921829265626025,0.006714606367944135
2007,Boundary-certificate expansion,0.02,137,0.40145985401459855,4.090469673270768,0.0818452380952381,0.0809649945316158,0.08125363704381079
2007,Boundary-excess expansion,0.02,137,0.40145985401459855,4.090469673270768,0.0818452380952381,0.08536857534274152,0.13770055698728073
2007,Posterior-mean expansion,0.02,137,0.4233576642335766,4.3135862009037185,0.08630952380952381,0.11140596305517289,0.10735722005154211
2007,Random unselected expansion,0.02,137,0.07113138686131387,0.7247568539277026,0.014501488095238093,0.022345155221586702,0.014531216227450327
2007,Boundary-certificate expansion,0.05,343,0.36443148688046645,3.7131880813549905,0.18601190476190477,0.16960334170164454,0.3407432039238507
2007,Boundary-excess expansion,0.05,343,0.36151603498542273,3.683482576704151,0.18452380952380953,0.16768936384521643,0.3407764568958351
2007,Posterior-mean expansion,0.05,343,0.36151603498542273,3.683482576704151,0.18452380952380953,0.16282504433191824,0.3282068334857428
2007,Random unselected expansion,0.05,343,0.0679737609329446,0.6925838409343328,0.034694940476190476,0.04958977367466741,0.038307091196275664
2008,Boundary-certificate expansion,0.005,32,0.28125,2.861763535031847,0.014331210191082803,0.11977209228344055,0.07224917028338014
2008,Boundary-excess expansion,0.005,32,0.3125,3.1797372611464967,0.01592356687898089,0.1239761548216717,0.07944391579826862
2008,Posterior-mean expansion,0.005,32,0.46875,4.7696058917197455,0.02388535031847134,0.006037770915349767,0.005082739573421218
2008,Random unselected expansion,0.005,32,0.06953125,0.7074915406050954,0.003542993630573248,0.004129630007799387,0.0037651727899366393
2008,Boundary-certificate expansion,0.01,64,0.359375,3.6566978503184715,0.03662420382165605,0.13184763411414008,0.18583331399261957
2008,Boundary-excess expansion,0.01,64,0.296875,3.020750398089172,0.030254777070063694,0.13296573983920484,0.26049620535196233
2008,Posterior-mean expansion,0.01,64,0.5,5.087579617834395,0.050955414012738856,0.047578695964234106,0.00970130201684963
