test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,cost_capture,aos_capture,fallback_share
1996,EB component-phase-size,0.1,2533,576,254,175,0.3038194444444444,0.6889763779527559,0.2273983418870904,3.0298214676290462,0.45297506644803437,0.602939688322202,0.0
1996,Full hierarchy,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,0.17319452625067336,0.5474600283343453,0.023622047244094488
1996,Full hierarchy,0.1,2533,576,254,179,0.3107638888888889,0.7047244094488189,0.2273983418870904,3.0990745297462814,0.501038065548248,0.6932554138838292,0.01968503937007874
1996,Full hierarchy with certificates,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,0.17319452625067336,0.5474600283343453,0.023622047244094488
1996,Full hierarchy with certificates,0.1,2533,576,254,179,0.3107638888888889,0.7047244094488189,0.2273983418870904,3.0990745297462814,0.501038065548248,0.6932554138838292,0.01968503937007874
1997,Direct full cell,0.05,3246,701,163,116,0.16547788873038516,0.7116564417177914,0.2159581022797289,3.295344949808775,0.44729118492150405,0.12315681650348984,0.0
1997,Direct full cell,0.1,3246,701,325,210,0.2995720399429387,0.6461538461538462,0.2159581022797289,2.9920333589377814,0.734816410200664,0.36253841206317444,0.0
1997,EB component,0.05,3246,701,163,83,0.11840228245363767,0.50920245398773,0.2159581022797289,2.357876127880416,0.1067785709696215,0.1805902951475738,0.0
1997,EB component,0.1,3246,701,325,147,0.20970042796005706,0.4523076923076923,0.2159581022797289,2.094423351256447,0.5043719608983007,0.20317301507896807,0.0
1997,EB component-phase,0.05,3246,701,163,103,0.14693295292439373,0.6319018404907976,0.2159581022797289,2.9260390502612394,0.30445552300971374,0.23130612925510374,0.0
1997,EB component-phase,0.1,3246,701,325,182,0.25962910128388017,0.56,0.2159581022797289,2.593095577746077,0.6039609078688519,0.3017937540198671,0.003076923076923077
1997,EB component-phase-size,0.05,3246,701,163,121,0.17261055634807418,0.7423312883435583,0.2159581022797289,3.4373856804039806,0.2873688785487568,0.28864432216108055,0.0
1997,EB component-phase-size,0.1,3246,701,325,222,0.3166904422253923,0.683076923076923,0.2159581022797289,3.163006693734226,0.606779999552156,0.4179232473379547,0.003076923076923077
1997,Full hierarchy,0.05,3246,701,163,126,0.1797432239657632,0.7730061349693251,0.2159581022797289,3.579426410999186,0.47702158216113705,0.2904547511851164,0.018404907975460124
1997,Full hierarchy,0.1,3246,701,325,227,0.3238231098430813,0.6984615384615385,0.2159581022797289,3.2342455832327444,0.7078045058556269,0.4316920364944377,0.021538461538461538
1997,Full hierarchy with certificates,0.05,3246,701,163,126,0.1797432239657632,0.7730061349693251,0.2159581022797289,3.579426410999186,0.47702158216113705,0.2904547511851164,0.018404907975460124
1997,Full hierarchy with certificates,0.1,3246,701,325,227,0.3238231098430813,0.6984615384615385,0.2159581022797289,3.2342455832327444,0.7078045058556269,0.4316920364944377,0.021538461538461538
1998,Direct full cell,0.05,3348,720,168,126,0.175,0.75,0.21505376344086022,3.4875,0.45659009739014167,0.5637227358635133,0.0
1998,Direct full cell,0.1,3348,720,335,233,0.3236111111111111,0.6955223880597015,0.21505376344086022,3.2341791044776116,0.5738957057465989,0.692159166368698,0.0
1998,EB component,0.05,3348,720,168,91,0.12638888888888888,0.5416666666666666,0.21505376344086022,2.51875,0.09333312872752311,0.17493998058946722,0.0
1998,EB component,0.1,3348,720,335,177,0.24583333333333332,0.5283582089552239,0.21505376344086022,2.456865671641791,0.7473309149816155,0.40218623895387445,0.0
1998,EB component-phase,0.05,3348,720,168,132,0.18333333333333332,0.7857142857142857,0.21505376344086022,3.6535714285714285,0.6711061056820146,0.38391990601215714,0.0
1998,EB component-phase,0.1,3348,720,335,197,0.27361111111111114,0.5880597014925373,0.21505376344086022,2.7344776119402985,0.817364788363089,0.4874291260152219,0.0
1998,EB component-phase-size,0.05,3348,720,168,137,0.19027777777777777,0.8154761904761905,0.21505376344086022,3.7919642857142857,0.7773148022740601,0.4461153394289217,0.0
1998,EB component-phase-size,0.1,3348,720,335,249,0.3458333333333333,0.7432835820895523,0.21505376344086022,3.456268656716418,0.8805468045798787,0.7899473872401287,0.0
1998,Full hierarchy,0.05,3348,720,168,146,0.20277777777777778,0.8690476190476191,0.21505376344086022,4.041071428571429,0.739150303205795,0.6750370332533074,0.005952380952380952
1998,Full hierarchy,0.1,3348,720,335,251,0.3486111111111111,0.7492537313432835,0.21505376344086022,3.4840298507462686,0.8311837669308528,0.7274250395872708,0.0029850746268656717
1998,Full hierarchy with certificates,0.05,3348,720,168,146,0.20277777777777778,0.8690476190476191,0.21505376344086022,4.041071428571429,0.739150303205795,0.6750370332533074,0.005952380952380952
1998,Full hierarchy with certificates,0.1,3348,720,335,251,0.3486111111111111,0.7492537313432835,0.21505376344086022,3.4840298507462686,0.8311837669308528,0.7274250395872708,0.0029850746268656717
1999,Direct full cell,0.05,4898,848,245,162,0.19103773584905662,0.6612244897959184,0.1731318905675786,3.8191952252599153,0.43898950244620655,0.31127690510809713,0.0
1999,Direct full cell,0.1,4898,848,490,314,0.37028301886792453,0.6408163265306123,0.1731318905675786,3.70131882941856,0.6732326161865841,0.7337496722522823,0.0
1999,EB component,0.05,4898,848,245,117,0.13797169811320756,0.4775510204081633,0.1731318905675786,2.7583076626877165,0.48229892369474026,0.20673134221628967,0.0
1999,EB component,0.1,4898,848,490,194,0.22877358490566038,0.39591836734693875,0.1731318905675786,2.2868020793222947,0.6857670124921385,0.2440588277357996,0.0
1999,EB component-phase,0.05,4898,848,245,128,0.1509433962264151,0.5224489795918368,0.1731318905675786,3.0176357335386985,0.5556490864176908,0.18065454198746217,0.004081632653061225
1999,EB component-phase,0.1,4898,848,490,243,0.2865566037735849,0.4959183673469388,0.1731318905675786,2.8643964189449367,0.6691917983777042,0.31170595666579265,0.0020408163265306124
1999,EB component-phase-size,0.05,4898,848,245,167,0.19693396226415094,0.6816326530612244,0.1731318905675786,3.9370716211012704,0.2540018947024772,0.4251185850833075,0.02857142857142857
1999,EB component-phase-size,0.1,4898,848,490,296,0.3490566037735849,0.6040816326530613,0.1731318905675786,3.4891413169041203,0.7312340739400652,0.5358377231664005,0.0163265306122449
1999,Full hierarchy,0.05,4898,848,245,178,0.2099056603773585,0.726530612244898,0.1731318905675786,4.196399691952253,0.4038333915327295,0.4680952494458084,0.044897959183673466
1999,Full hierarchy,0.1,4898,848,490,313,0.36910377358490565,0.6387755102040816,0.1731318905675786,3.6895311898344243,0.6845267375329832,0.6690820680285081,0.022448979591836733
