train_start,train_end,test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_units,selected_hard_consequence_units,hard_consequence_capture,total_event_cost,selected_event_cost,cost_capture,total_event_aos,selected_event_aos,aos_capture
2007,2011,2012,ridge_logistic,0.2,9097,776,1820,580,0.7474226804123711,0.31868131868131866,0.08530284709244806,3.735881386654582,1997,1003,0.5022533800701051,35850878.0,32928154.0,0.9184755252019211,51981.0,47474.0,0.9132952424924492
2007,2011,2012,random_forest,0.01,9097,776,91,64,0.08247422680412371,0.7032967032967034,0.08530284709244806,8.24470374985839,1997,82,0.041061592388582875,35850878.0,10852974.0,0.3027254729995734,51981.0,19602.0,0.37709932475327523
2007,2011,2012,random_forest,0.025,9097,776,228,138,0.17783505154639176,0.6052631578947368,0.08530284709244806,7.09546256104178,1997,186,0.09313970956434652,35850878.0,13623948.0,0.3800171365398638,51981.0,24878.0,0.47859794925068777
2007,2011,2012,random_forest,0.05,9097,776,455,234,0.3015463917525773,0.5142857142857142,0.08530284709244806,6.028939617083946,1997,343,0.17175763645468203,35850878.0,23328544.0,0.6507105348995916,51981.0,34446.0,0.6626652045939863
2007,2011,2012,random_forest,0.1,9097,776,910,396,0.5103092783505154,0.4351648351648352,0.08530284709244806,5.101410445224878,1997,618,0.30946419629444166,35850878.0,28488059.0,0.7946265360641934,51981.0,43214.0,0.8313422211962063
2007,2011,2012,random_forest,0.2,9097,776,1820,567,0.7306701030927835,0.31153846153846154,0.08530284709244806,3.6521461141950833,1997,986,0.49374061091637456,35850878.0,32435303.0,0.9047282747161729,51981.0,47836.0,0.9202593255227872
2007,2011,2012,xgboost,0.01,9097,776,91,65,0.08376288659793814,0.7142857142857143,0.08530284709244806,8.373527245949926,1997,84,0.04206309464196294,35850878.0,5641810.0,0.15736880976806203,51981.0,13941.0,0.2681941478617187
2007,2011,2012,xgboost,0.025,9097,776,228,144,0.18556701030927836,0.631578947368421,0.08530284709244806,7.403960933260986,1997,198,0.09914872308462694,35850878.0,10481901.0,0.2923750151948859,51981.0,25622.0,0.49291087127989075
2007,2011,2012,xgboost,0.05,9097,776,455,253,0.32603092783505155,0.5560439560439561,0.08530284709244806,6.518468902231788,1997,360,0.18027040560841262,35850878.0,22604348.0,0.6305103043780406,51981.0,37557.0,0.7225139954983552
2007,2011,2012,xgboost,0.1,9097,776,910,412,0.5309278350515464,0.45274725274725275,0.08530284709244806,5.307528038971338,1997,637,0.3189784677015523,35850878.0,30641814.0,0.8547019127397661,51981.0,44012.0,0.8466939843404321
2007,2011,2012,xgboost,0.2,9097,776,1820,580,0.7474226804123711,0.31868131868131866,0.08530284709244806,3.735881386654582,1997,999,0.5002503755633451,35850878.0,33360943.0,0.9305474471224945,51981.0,47921.0,0.9218945383890268
2007,2011,2012,lightgbm,0.01,9097,776,91,66,0.08505154639175258,0.7252747252747253,0.08530284709244806,8.502350742041463,1997,86,0.04306459689534301,35850878.0,6367920.0,0.17762242810343445,51981.0,16512.0,0.31765452761585966
2007,2011,2012,lightgbm,0.025,9097,776,228,157,0.20231958762886598,0.6885964912280702,0.08530284709244806,8.072374073069271,1997,205,0.10265398097145718,35850878.0,11400576.0,0.3179999106298038,51981.0,27117.0,0.5216713799272811
2007,2011,2012,lightgbm,0.05,9097,776,455,258,0.3324742268041237,0.567032967032967,0.08530284709244806,6.647292398323326,1997,363,0.18177265898848272,35850878.0,23393599.0,0.6525251348098086,51981.0,35430.0,0.6815951982455127
2007,2011,2012,lightgbm,0.1,9097,776,910,407,0.5244845360824743,0.4472527472527473,0.08530284709244806,5.2431162909255695,1997,634,0.3174762143214822,35850878.0,30336258.0,0.8461789415589765,51981.0,44352.0,0.8532348358053904
2007,2011,2012,lightgbm,0.2,9097,776,1820,591,0.7615979381443299,0.32472527472527474,0.08530284709244806,3.806734309504928,1997,1023,0.5122684026039058,35850878.0,32839651.0,0.9160068827324117,51981.0,47881.0,0.9211250264519728
2007,2011,2012,catboost,0.01,9097,776,91,67,0.08634020618556701,0.7362637362637363,0.08530284709244806,8.631174238133001,1997,86,0.04306459689534301,35850878.0,8436809.0,0.23533061031308633,51981.0,12232.0,0.23531675035108982
