rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
species_size_component,0.01,31,273838,22992,2752,1889,0.08215901183020181,0.6864098837209303,0.08396205055543789,8.175239637194332,0.041634304499394904,0.16761000434109308,0.26603921634666766,8.094581967826853,4.13425698805163,3.692647058823529,2.555999795324871
direct_full_cell,0.01,31,273838,22992,2752,1840,0.08002783576896312,0.6686046511627907,0.08396205055543789,7.963176777362398,0.040947925509817025,0.3059645090625902,0.2259408127351198,7.863346914387162,4.064273295059672,2.6928309785452647,2.5783447890558873
aos_burden_rule,0.01,31,273838,22992,2752,1511,0.06571851078636047,0.5490552325581395,0.08396205055543789,6.539326147062273,0.04000867005039467,0.039709718857343916,0.287361555222734,6.452846872491143,3.075682464017633,1.8513212977498692,2.1580595609756394
cost_burden_rule,0.01,31,273838,22992,2752,1389,0.06041231732776618,0.5047238372093024,0.08396205055543789,6.01133290421542,0.03520401712334953,0.3513797846334454,0.07387894788894997,5.934702199403545,2.9076020124039763,1.6830193615907902,2.183890496284828
component_only,0.01,31,273838,22992,2752,1272,0.055323590814196244,0.4622093023255814,0.08396205055543789,5.504978728698354,0.03137474486570453,0.046942040247806335,0.07920806213768226,5.491880273573881,3.1901997373695483,2.7061965811965814,1.3518793392887434
frequency,0.01,31,273838,22992,2752,104,0.004523312456506611,0.0377906976744186,0.08396205055543789,0.45009260045961386,0.005075592001878511,0.0012498102101496777,0.0010231354655524942,0.4408186166051512,0.0,0.0,0.589998905814168
lightgbm,0.025,31,273838,22992,6860,4649,0.2022007654836465,0.6776967930029154,0.08396205055543789,8.071465483747927,0.1051424236403374,0.39105539173721465,0.47366637202686807,7.998458306909404,4.171609545510913,3.7699633699633703,2.31148648068119
catboost,0.025,31,273838,22992,6860,4645,0.20202679192762701,0.6771137026239067,0.08396205055543789,8.064520794151242,0.10608167909975977,0.42478209359034913,0.4866333211650292,7.978576940570908,4.075912071919888,3.7699633699633703,2.3529779671641293
ridge_logistic,0.025,31,273838,22992,6860,4595,0.19985212247738343,0.6698250728862973,0.08396205055543789,7.977712174192671,0.10487148456550403,0.3747100989664899,0.4821099293438811,7.898598613159613,4.13238192335164,3.9046049188906333,2.256231081103662
xgboost,0.025,31,273838,22992,6860,4484,0.19502435629784273,0.6536443148688047,0.08396205055543789,7.7849970378846445,0.10449216986073731,0.37974447135376893,0.4922972954980591,7.7110785314966614,4.143930974082341,3.9046049188906333,2.1684637207249917
tabm,0.025,31,273838,22992,6860,4375,0.19028357689631176,0.6377551020408163,0.08396205055543789,7.595754246374959,0.1047269837255929,0.29877040710671854,0.503787416029758,7.512686392616639,3.9248657743311677,3.635321821036107,2.1827801542736123
random_forest,0.025,31,273838,22992,6860,4270,0.18571677105080028,0.6224489795918368,0.08396205055543789,7.413456144461961,0.10039195852825894,0.44651908789926176,0.4568114214939649,7.341419177173058,3.922495272202814,3.500680272108844,2.026571430908859
bayesian_posterior_mean,0.025,31,273838,22992,6860,4265,0.18549930410577592,0.6217201166180758,0.08396205055543789,7.404775282466103,0.09871213626429204,0.44522162109563695,0.454944794820625,7.330109696867615,3.9003814320557835,3.2987179487179485,2.2081195761144117
hierarchical_eb_execution,0.025,31,273838,22992,6860,4265,0.18549930410577592,0.6217201166180758,0.08396205055543789,7.404775282466103,0.09871213626429204,0.44522162109563695,0.454944794820625,7.330109696867615,3.9003814320557835,3.2987179487179485,2.2081195761144117
membership_probability,0.025,31,273838,22992,6860,4265,0.18549930410577592,0.6217201166180758,0.08396205055543789,7.404775282466103,0.09891082491916985,0.445254956600945,0.44734989159970256,7.3300822157643815,3.8377904950551853,3.2987179487179485,2.2104905080632693
