train_start,train_end,test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_units,selected_hard_consequence_units,hard_consequence_capture,total_event_cost,selected_event_cost,cost_capture,total_event_aos,selected_event_aos,aos_capture
2006,2010,2011,bayesian_species_child,0.05,8464,645,424,237,0.3674418604651163,0.5589622641509434,0.07620510396975426,7.334971478718736,1682,320,0.1902497027348395,60480020.0,35256182.0,0.5829393244248265,35064.0,20173.0,0.5753194159251654
2006,2010,2011,bayesian_species_child,0.1,8464,645,847,364,0.5643410852713179,0.4297520661157025,0.07620510396975426,5.639413159074892,1682,541,0.321640903686088,60480020.0,55845975.0,0.9233789109196723,35064.0,28378.0,0.8093201003878622
2006,2010,2011,compact_lightgbm,0.05,8464,645,424,228,0.35348837209302325,0.5377358490566038,0.07620510396975426,7.056428258007897,1682,319,0.1896551724137931,60480020.0,42680398.0,0.7056941780111845,35064.0,22050.0,0.6288501026694046
2006,2010,2011,compact_lightgbm,0.1,8464,645,847,359,0.5565891472868217,0.42384887839433294,0.07620510396975426,5.5619486926040835,1682,543,0.32282996432818073,60480020.0,47531212.0,0.7858994094247985,35064.0,27942.0,0.7968856947296372
2006,2010,2011,compact_catboost,0.05,8464,645,424,217,0.3364341085271318,0.5117924528301887,0.07620510396975426,6.715986543805762,1682,315,0.1872770511296076,60480020.0,42255005.0,0.6986605659191251,35064.0,18242.0,0.5202486881131645
2006,2010,2011,compact_catboost,0.1,8464,645,847,349,0.5410852713178295,0.41204250295159384,0.07620510396975426,5.407019759662465,1682,534,0.31747919143876335,60480020.0,49128112.0,0.8123031705346658,35064.0,27896.0,0.7955738078941365
2007,2011,2012,hierarchical_eb_execution,0.05,9097,776,455,237,0.30541237113402064,0.5208791208791209,0.08530284709244806,6.1062337147388694,1997,352,0.17626439659489235,35850878.0,20722446.0,0.5780178103308934,51981.0,31205.0,0.6003154998941921
2007,2011,2012,hierarchical_eb_execution,0.1,9097,776,910,399,0.5141752577319587,0.43846153846153846,0.08530284709244806,5.140057494052339,1997,632,0.3164747120681021,35850878.0,28649858.0,0.7991396472912045,51981.0,43362.0,0.8341894153633058
2007,2011,2012,bayesian_species_child,0.05,9097,776,455,239,0.3079896907216495,0.5252747252747253,0.08530284709244806,6.157763113175484,1997,353,0.17676514772158236,35850878.0,22449487.0,0.6261907170028026,51981.0,35337.0,0.6798060829918624
2007,2011,2012,bayesian_species_child,0.1,9097,776,910,401,0.5167525773195877,0.44065934065934065,0.08530284709244806,5.165822193270646,1997,631,0.3159739609414121,35850878.0,28269390.0,0.7885271317483493,51981.0,43048.0,0.8281487466574325
2007,2011,2012,compact_lightgbm,0.05,9097,776,455,244,0.31443298969072164,0.5362637362637362,0.08530284709244806,6.2865866092670215,1997,358,0.17926890335503254,35850878.0,20879292.0,0.5823927659456485,51981.0,32388.0,0.6230738154325619
2007,2011,2012,compact_lightgbm,0.1,9097,776,910,407,0.5244845360824743,0.4472527472527473,0.08530284709244806,5.2431162909255695,1997,631,0.3159739609414121,35850878.0,29249871.0,0.8158760016979222,51981.0,44645.0,0.8588715107443105
2007,2011,2012,compact_catboost,0.05,9097,776,455,238,0.30670103092783507,0.5230769230769231,0.08530284709244806,6.131998413957177,1997,349,0.17476214321482222,35850878.0,20783461.0,0.5797197212297004,51981.0,36139.0,0.6952347973297935
2007,2011,2012,compact_catboost,0.1,9097,776,910,412,0.5309278350515464,0.45274725274725275,0.08530284709244806,5.307528038971338,1997,637,0.3189784677015523,35850878.0,29237577.0,0.815533081226072,51981.0,44217.0,0.8506377330178334
2008,2012,2013,hierarchical_eb_execution,0.05,9153,748,458,273,0.3649732620320856,0.5960698689956332,0.08172183983393423,7.293887046680522,2095,371,0.17708830548926013,24268356.0,12579654.0,0.5183562495951518,60715.0,43974.0,0.7242691262455736
2008,2012,2013,hierarchical_eb_execution,0.1,9153,748,916,438,0.5855614973262032,0.4781659388646288,0.08172183983393423,5.851140158326133,2095,658,0.31408114558472555,24268356.0,16736939.0,0.6896610137085512,60715.0,50594.0,0.8333031376101457
2008,2012,2013,bayesian_species_child,0.05,9153,748,458,287,0.3836898395721925,0.6266375545851528,0.08172183983393423,7.667932536253882,2095,371,0.17708830548926013,24268356.0,13755463.0,0.5668065442916693,60715.0,41668.0,0.6862883966070987
2008,2012,2013,bayesian_species_child,0.1,9153,748,916,441,0.589572192513369,0.4814410480349345,0.08172183983393423,5.891216460780421,2095,659,0.3145584725536993,24268356.0,17466407.0,0.7197194156868311,60715.0,51265.0,0.8443547722967966
