rep,alpha,draws,method,capture,hit_rate,lift,brier,selected_cells
11000,10.0,500,Hierarchical shrinkage,0.1875,0.49476439790575916,3.746564136125654,0.01147506422062467,18
11001,10.0,500,Hierarchical shrinkage,0.12123974475843209,0.3292079207920792,2.4199933211188034,0.01167432351754633,26
11002,10.0,500,Hierarchical shrinkage,0.16583629893238433,0.5641646489104116,3.310702868516971,0.01485267743736132,19
11003,10.0,500,Hierarchical shrinkage,0.20875420875420875,0.7560975609756098,4.165919356163259,0.010798958167095103,15
11004,10.0,500,Hierarchical shrinkage,0.11830535571542766,0.3654320987654321,2.3611412104883995,0.011201762247042168,23
11005,10.0,500,Hierarchical shrinkage,0.12648945921173235,0.35475578406169667,2.523611035841272,0.009536470492436095,22
11006,10.0,500,Hierarchical shrinkage,0.12955974842767295,0.2717678100263852,2.5911949685534594,0.00920115258263524,23
11007,10.0,500,Hierarchical shrinkage,0.15607734806629833,0.5485436893203883,3.1200316472670706,0.014405238662367335,21
11008,10.0,500,Hierarchical shrinkage,0.155984555984556,0.505,3.1193011583011585,0.010945344124961866,20
11009,10.0,500,Hierarchical shrinkage,0.20838052095130238,0.47668393782383417,4.163291651752445,0.007740328190798804,21
11010,10.0,500,Hierarchical shrinkage,0.1661514683153014,0.5269607843137255,3.3214004303421523,0.014082760941784294,19
11011,10.0,500,Hierarchical shrinkage,0.1699761715647339,0.5310173697270472,3.3991016541940215,0.013295171185534943,16
11012,10.0,500,Hierarchical shrinkage,0.16720955483170466,0.39487179487179486,3.3420473843926612,0.009597186270691725,25
11013,10.0,500,Hierarchical shrinkage,0.14123581336696092,0.2931937172774869,2.819170358437374,0.008004123177187534,24
11014,10.0,500,Hierarchical shrinkage,0.15812431842966193,0.38461538461538464,3.1553560942873924,0.01238696130955911,22
11015,10.0,500,Hierarchical shrinkage,0.16545265348595214,0.4151436031331593,3.3047331570953884,0.011355553265020074,21
11016,10.0,500,Hierarchical shrinkage,0.10967098703888335,0.27918781725888325,2.188687743874974,0.014031550370760109,24
11017,10.0,500,Hierarchical shrinkage,0.14919011082693948,0.4375,2.977461636828645,0.01345419995984657,24
11018,10.0,500,Hierarchical shrinkage,0.17916041979010494,0.5857843137254902,3.5805736837463624,0.01499770245316138,20
11019,10.0,500,Hierarchical shrinkage,0.1108891108891109,0.2890625,2.212584290709291,0.012922663249305941,21
11020,10.0,500,Hierarchical shrinkage,0.1529818496110631,0.45268542199488493,3.0541593812377457,0.01131268546035871,22
11021,10.0,500,Hierarchical shrinkage,0.1906934306569343,0.5358974358974359,3.8050673778775965,0.010841253667964674,18
11022,10.0,500,Hierarchical shrinkage,0.14564102564102563,0.3622448979591837,2.9094767137624284,0.0123514025622927,23
11023,10.0,500,Hierarchical shrinkage,0.13162118780096307,0.41,2.632094703049759,0.01537792375888169,21
